service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
3076, 0, 0, 0, 0, 0, 0, 0, 20260905, 20261226
3078, 0, 0, 0, 0, 0, 0, 0, 20261208, 20261208
3184, 0, 0, 0, 0, 0, 0, 0, 20261224, 20261231
3186, 0, 0, 0, 0, 0, 0, 0, 20260619, 20260619
3308, 0, 0, 0, 0, 0, 0, 0, 20260822, 20260829
3310, 0, 0, 0, 0, 0, 0, 0, 20260802, 20260830
3311, 0, 0, 0, 0, 0, 0, 0, 20260630, 20260630
3313, 0, 0, 0, 0, 0, 0, 0, 20260703, 20260731
3322, 0, 0, 0, 0, 0, 0, 0, 20260623, 20260623
3326, 0, 0, 0, 0, 0, 0, 0, 20260624, 20260624
